iter	RMSE
126	2.188497905
127	2.181594098
128	2.174891134
129	2.165165317
130	2.15573049
131	2.142101064
132	2.131400747
133	2.125357666
134	2.114377477
135	2.10822357
136	2.101431002
137	2.094932181
138	2.084776692
139	2.078799212
140	2.070232621
141	2.057264913
142	2.052845704
143	2.042744148
144	2.034713415
145	2.027847606
146	2.020405897
147	2.007661199
148	2.001900096
149	1.994170899
150	1.985266558
151	1.974904819
152	1.969672384
153	1.959890845
154	1.951537951
155	1.945712892
156	1.934958195
157	1.929289828
158	1.922428227
159	1.917639347
160	1.912248137
161	1.902838784
162	1.897434385
163	1.887554277
164	1.879361269
165	1.871279594
166	1.863091146
167	1.857162974
168	1.850131539
169	1.843229284
170	1.833308922
171	1.823965549
172	1.816483717
173	1.809279764
174	1.800121638
175	1.787610993
176	1.778812992
177	1.772517225
178	1.766159173
179	1.754867177
180	1.748714268
181	1.738649971
182	1.728798457
183	1.71864336
184	1.714789377
185	1.709688518
186	1.702083528
187	1.692721843
188	1.681149207
189	1.676597344
190	1.670069996
191	1.666449433
192	1.659250206
193	1.646524243
194	1.640163418
195	1.6325319
196	1.628193346
197	1.621054158
198	1.613855941
199	1.605120678
200	1.598987332
201	1.591504587
202	1.587408901
203	1.576681854
204	1.571913566
205	1.568050557
206	1.564047314
207	1.556787521
208	1.551951334
209	1.54317693
210	1.53648075
211	1.525146445
212	1.517570105
213	1.511248644
214	1.503164227
215	1.495214983
216	1.483936589
217	1.479472704
218	1.471441577
219	1.467418265
220	1.458522128
221	1.45090914
222	1.439996258
223	1.434666557
224	1.43062462
225	1.426711601
226	1.421673861
227	1.415354613
228	1.409004023
229	1.403540812
230	1.395926426
231	1.388005481
232	1.382138394
233	1.374972953
234	1.368942544
235	1.363208227
236	1.35597396
237	1.348750542
238	1.340358766
239	1.332781432
240	1.327255841
241	1.320704606
242	1.31493707
243	1.309252819
244	1.303332558
245	1.296102134
246	1.289159984
247	1.28376116
248	1.277863684
249	1.271336752
250	1.265977666
251	1.260604272
252	1.254397554
253	1.247322167
254	1.242146955
255	1.237332319
256	1.230584502
257	1.224387257
258	1.218987355
259	1.214276062
260	1.207882913
261	1.201278883
262	1.195618429
263	1.190486612
264	1.182993309
265	1.178445745
266	1.173916183
267	1.169327158
268	1.164966809
269	1.160414383
270	1.155882893
271	1.14953899
272	1.144181401
273	1.138808249
274	1.133712555
275	1.128084263
276	1.123782577
277	1.114372895
278	1.10986526
279	1.103994581
280	1.098191714
281	1.093630807
282	1.089659395
283	1.084392853
284	1.080441565
285	1.075067051
286	1.069327016
287	1.064041505
288	1.060180153
289	1.056290889
290	1.050536748
291	1.045126792
292	1.041062328
293	1.035960329
294	1.031961122
295	1.02836897
296	1.024439836
297	1.020663882
298	1.015322049
299	1.010122694
300	1.005089145
301	1.001573513
302	0.9961611996
303	0.9909816409
304	0.9868434823
305	0.9834964207
306	0.9800915282
307	0.9766533189
308	0.9734222067
309	0.9688483834
310	0.9606892987
311	0.9573078202
312	0.9504340613
313	0.9455474531
314	0.9412236418
315	0.9362359829
316	0.9313017555
317	0.9266180837
318	0.9236273305
319	0.9190828205
320	0.9160140611
321	0.9114459828
322	0.9071397059
323	0.9021342735
324	0.8991007397
325	0.8943238746
326	0.8894133258
327	0.8850592475
328	0.880614865
329	0.8755399028
330	0.8726688312
331	0.8683109699
332	0.863629412
333	0.8589611265
334	0.8519054185
335	0.8492568191
336	0.8432462865
337	0.8406503596
338	0.8361394924
339	0.8294857069
340	0.8236638016
341	0.8196084054
342	0.8155793216
343	0.8099416611
344	0.8055977471
345	0.7999968483
346	0.7961042979
347	0.7906350798
348	0.786415178
349	0.7807428392
350	0.7769617757
351	0.7728330961
352	0.769331411
353	0.7656353056
354	0.7615644685
355	0.756160645
356	0.7522059767
357	0.7475538859
358	0.7425563899
359	0.7386401572
360	0.7334589894
361	0.7289725382
362	0.723677515
363	0.718483203
364	0.7147315545
365	0.7113627007
366	0.7080230498
367	0.7045746237
368	0.7014202403
369	0.6976397544
370	0.6939098509
371	0.6902158338
372	0.6865435523
373	0.6829202566
374	0.6793317062
375	0.6757775333
376	0.6722441356
377	0.6687577367
378	0.6653046463
379	0.6618716911
380	0.658484285
381	0.6551291681
382	0.6518060112
383	0.6485144902
384	0.645254286
385	0.6420250841
386	0.6388265749
387	0.6356584534
388	0.6325204189
389	0.6294121752
390	0.6263217492
391	0.6232723069
392	0.6202517916
393	0.617259924
394	0.6142964282
395	0.6113610325
396	0.6084788222
397	0.6055914014
398	0.6027562437
399	0.5999477647
400	0.5971272785
401	0.5943647451
402	0.5915905365
403	0.5888732638
404	0.5861816649
405	0.5834719655
406	0.5808245678
407	0.5782022478
408	0.5755556613
409	0.5729346116
410	0.5703736487
411	0.5678370383
412	0.5652772537
413	0.5627422891
414	0.5602652198
415	0.5577723587
416	0.556073245
417	0.5536475262
418	0.5512450488
419	0.5488196622
420	0.5464571355
421	0.5430555004
422	0.5407361861
423	0.53739995
424	0.5351231031
425	0.5318511716
426	0.5296160598
427	0.5268866058
428	0.5246894971
429	0.522007282
430	0.5198475687
431	0.5167381178
432	0.5146181357
433	0.5120279914
434	0.5099441794
435	0.5073991271
436	0.5040687121
437	0.5020374541
438	0.4987650552
439	0.4967702634
440	0.4935549503
441	0.4915959966
442	0.4884368548
443	0.4865131232
444	0.4841384957
445	0.4810545344
446	0.4780091953
447	0.4760560656
448	0.4730663028
449	0.4712882029
450	0.4686749516
451	0.4660000324
452	0.463365511
453	0.4607707673
454	0.4582151903
455	0.4559313104
456	0.4535884603
457	0.4513484
458	0.4488506869
459	0.4466481621
460	0.4454644724
461	0.4429667477
462	0.4407074752
463	0.4385582467
464	0.4363290172
465	0.434120113
466	0.4317046575
467	0.4296105051
468	0.427446303
469	0.4250803412
470	0.4230308181
471	0.4219335338
472	0.4198201381
473	0.4169608618
474	0.4158942051
475	0.4136065137
476	0.4108854832
477	0.4081983916
478	0.405544817
479	0.4029243436
480	0.4003365618
481	0.3985145281
482	0.3956644744
483	0.3938861089
484	0.3913688368
485	0.3885897995
486	0.3868605749
487	0.3844052339
488	0.3827176145
489	0.3800139321
490	0.3773487154
491	0.3757752232
492	0.3734088591
493	0.3718039571
494	0.369210601
495	0.3669023279
496	0.3654052374
497	0.3628761819
498	0.3614162998
499	0.3591706701
500	0.3569534257
501	0.3555302676
502	0.3530934391
503	0.3517000521
504	0.3495442266
505	0.3481796402
506	0.3456098862
507	0.3435079444
508	0.3421769548
509	0.3401074635
510	0.3388038213
511	0.336512921
512	0.3344949179
513	0.3332238383
514	0.3307947772
515	0.3292941771
516	0.327331088
517	0.3253930779
518	0.3241790252
519	0.3218367365
520	0.3199469743
521	0.3185148726
522	0.3164055772
523	0.315246272
524	0.3132251644
525	0.3116250356
526	0.3102542514
527	0.3084532361
528	0.3073440274
529	0.3063694844
530	0.3048199179
531	0.3038609606
532	0.3023388346
533	0.3010284591
534	0.3000875245
535	0.2983625567
536	0.2970839833
537	0.296161037
538	0.2946910443
539	0.2928285292
540	0.2919275942
541	0.2904864794
542	0.2886674491
543	0.2868493281
544	0.2850695842
545	0.2832838077
546	0.2819651804
547	0.2806212835
548	0.2794486311
549	0.2780773191
550	0.2767941998
551	0.274671255
552	0.2736474893
553	0.2726359307
554	0.2719910234
555	0.2698581783
556	0.2677628316
557	0.2663101327
558	0.2653355764
559	0.2643527974
560	0.2633856261
561	0.2613631987
562	0.2603594898
563	0.2593694404
564	0.2583928633
565	0.2574295741
566	0.2564793907
567	0.2555421337
568	0.254179538
569	0.2532604348
570	0.2523538544
571	0.2504560591
572	0.2495686251
573	0.2486932938
574	0.2473966041
575	0.2461794874
576	0.2452962886
577	0.2444520972
578	0.2435905945
579	0.242706397
580	0.2418878808
581	0.241053644
582	0.2398988616
583	0.2390706286
584	0.2382795033
585	0.2372787831
586	0.2364806335
587	0.235717458
588	0.2349445669
589	0.2333586885
590	0.2325867562
591	0.2310273976
592	0.2302469488
593	0.2294912932
594	0.2279574202
595	0.2271950999
596	0.2257912917
597	0.2248802989
598	0.2239896932
599	0.2232704436
600	0.2219020141
601	0.2202847927
602	0.2186947484
603	0.2172157694
604	0.2157594249
605	0.2144513544
606	0.2129154788
607	0.2114053389
608	0.2099204906
609	0.208515654
610	0.2071323995
611	0.2055897751
612	0.2043643644
613	0.2035257121
614	0.2027160211
615	0.2019244206
616	0.2012916401
617	0.2004711673
618	0.1998495103
619	0.1991957274
620	0.1985458582
621	0.1973268236
622	0.1966738876
623	0.1957538441
624	0.1951126082
625	0.1938565088
626	0.1925726156
627	0.1913086685
628	0.1901677526
629	0.1889839981
630	0.1883781839
631	0.1872283545
632	0.1866336796
633	0.1852746828
634	0.1841885715
635	0.1836093971
636	0.1825479791
637	0.1819164854
638	0.1811123967
639	0.1804923139
640	0.1794680828
641	0.1786882426
642	0.1784214207
643	0.1781575854
644	0.1773890821
645	0.1771283242
646	0.1761426951
647	0.1755489515
648	0.1748037897
649	0.1745477458
650	0.1738132795
651	0.1735731279
652	0.1728648844
653	0.172158485
654	0.1714361825
655	0.1712013425
656	0.170969348
657	0.1707401614
658	0.170026649
659	0.1697996199
660	0.1695750916
661	0.1693531586
662	0.1686485962
663	0.1674559278
664	0.1667732473
665	0.1665559552
666	0.1656437213
667	0.1642194796
668	0.1628129169
669	0.1614238384
670	0.1600520513
671	0.158697365
672	0.1573595911
673	0.1560385431
674	0.1547340366
675	0.1534458894
676	0.1521739212
677	0.1509179535
678	0.1496778099
679	0.1484533159
680	0.1472442989
681	0.1460505882
682	0.1449611062
683	0.1438857651
684	0.1428243932
685	0.1417768208
686	0.1407428803
687	0.139722406
688	0.1391548833
689	0.1381502283
690	0.1371586781
691	0.136603309
692	0.1356271548
693	0.1350812317
694	0.1341202389
695	0.1335835881
696	0.1326375259
697	0.1321099774
698	0.1311786187
699	0.1303145581
700	0.1297998219
701	0.1288898466
702	0.1283838174
703	0.1275453182
704	0.1267176215
705	0.126225402
706	0.1252221291
707	0.1244349534
708	0.1236611388
709	0.1229643085
710	0.1223800028
711	0.1216595415
712	0.121087877
713	0.1204191812
714	0.1197565749
715	0.1192011618
716	0.1182181578
717	0.1172516903
718	0.1163015062
719	0.1153673556
720	0.114448992
721	0.1140291611
722	0.1136157922
723	0.1132087886
724	0.1128080547
725	0.1124134964
726	0.1121532025
727	0.1118575076
728	0.1115679524
729	0.1112843843
730	0.1110066547
731	0.1107346192
732	0.1100929451
733	0.1097167348
734	0.1094535113
735	0.1091956519
736	0.1089430243
737	0.1087168553
738	0.1080920601
739	0.1078716792
740	0.1075928298
741	0.1069618894
742	0.1066049264
743	0.1059882953
744	0.1056384971
745	0.1052942144
746	0.1046930481
747	0.1039783125
748	0.1032725016
749	0.1025712181
750	0.1018810286
751	0.1011952957
752	0.1005204183
753	0.09990950371
754	0.09958287139
755	0.09926137262
756	0.09894492802
757	0.0986334593
758	0.09832688928
759	0.09767087364
760	0.0970446055
761	0.09640310056
762	0.09579065109
763	0.09516337203
764	0.09456446815
765	0.09394355022
766	0.09374448092
767	0.09313827904
768	0.09255946457
769	0.09198774789
770	0.09140084217
771	0.09091854317
772	0.09023425686
773	0.08995093942
774	0.08975317552
775	0.08955801915
776	0.08937226141
777	0.08915776758
778	0.08865377097
779	0.08838255968
780	0.08817433771
781	0.08797032002
782	0.08742585963
783	0.08674957921
784	0.08655003338
785	0.08606745001
786	0.08559471019
787	0.08533593603
788	0.08472158944
789	0.08411523166
790	0.08351677967
791	0.08292615121
792	0.08223937138
793	0.08171430321
794	0.08109220599
795	0.0804788941
796	0.080288437
797	0.08010180986
798	0.07949798707
799	0.07931549539
800	0.07913663875
801	0.07854212813
802	0.0783671987
803	0.07821253811
804	0.07762717366
805	0.07752166053
806	0.07741743727
807	0.07684045571
808	0.07673755544
809	0.076602644
810	0.07646975379
811	0.07633884713
812	0.07620988732
813	0.07611209972
814	0.07554549616
815	0.0754488944
816	0.07535344476
817	0.07525913322
818	0.0747005526
819	0.07460736956
820	0.07451529415
821	0.07396459537
822	0.07387360987
823	0.073783703
824	0.07324076423
825	0.07315191087
826	0.07261663084
827	0.07252880992
828	0.07244202565
829	0.07191427699
830	0.07183153302
831	0.07131115462
832	0.07122934403
833	0.07114856078
834	0.07063534663
835	0.07055546864
836	0.07004943051
837	0.0699704428
838	0.0694714867
839	0.06939337477
840	0.06891528936
841	0.06883360822
842	0.06875300577
843	0.06826746943
844	0.06818792928
845	0.06810942787
846	0.06803194865
847	0.06760950099
848	0.06753334252
849	0.0673359035
850	0.06691047609
851	0.06683571984
852	0.06676193272
853	0.0663556687
854	0.06628300433
855	0.06587223789
856	0.06580062535
857	0.06561061939
858	0.06520800444
859	0.06510846731
860	0.06503868127
861	0.06469181072
862	0.06435087315
863	0.06401576524
864	0.06368638538
865	0.06336263371
866	0.06304441204
867	0.0625489004
868	0.06206176921
869	0.06188615375
870	0.06140876543
871	0.06123749407
872	0.06115884898
873	0.06099094075
874	0.06092400306
875	0.0604306649
876	0.06036519776
877	0.06029062276
878	0.06022738372
879	0.06004466139
880	0.0595635454
881	0.05910792107
882	0.05904624136
883	0.0589852828
884	0.0589145799
885	0.05855965469
886	0.05809620215
887	0.05792175875
888	0.05754875949
889	0.05720440671
890	0.0568394503
891	0.0564428306
892	0.05638498879
893	0.05632782406
894	0.05599279109
895	0.05563991362
896	0.05525544891
897	0.0551995201
898	0.05503601786
899	0.0546763529
900	0.05430160362
901	0.05411714284
902	0.05406283321
903	0.05390420127
904	0.05341023623
905	0.05335683061
906	0.05330404966
907	0.05315011304
908	0.05278601594
909	0.05261012302
910	0.05255605416
911	0.05221245248
912	0.05215915284
913	0.05201026676
914	0.0516562613
915	0.05152329148
916	0.05118774265
917	0.05105943412
918	0.05099481265
919	0.05065093267
920	0.05058756716
921	0.05052468885
922	0.05023342194
923	0.05011190774
924	0.04978750156
925	0.04945380171
926	0.04939360214
927	0.04933319915
928	0.04900517973
929	0.04894651247
930	0.04888733373
931	0.04874953941
932	0.04843526957
933	0.048115132
934	0.04805852501
935	0.04792447222
936	0.04761021213
937	0.04752025739
938	0.04746519086
939	0.04726064683
940	0.04695331849
941	0.04691133963
942	0.04678267273
943	0.04648229772
944	0.04618211819
945	0.04612985996
946	0.04583483143
947	0.04575045691
948	0.04562969771
949	0.04533817983
950	0.04499784978
951	0.04471350642
952	0.04467434627
953	0.04462500103
954	0.04450464355
955	0.04432338279
956	0.04399264134
957	0.0437182006
958	0.04367078336
959	0.04347854616
960	0.04343230667
961	0.04325740101
962	0.0430705218
963	0.04288786588
964	0.04264066625
965	0.04250237155
966	0.04219067744
967	0.04193141323
968	0.04179713187
969	0.04153986112
970	0.04130042561
971	0.04122590175
972	0.04099218197
973	0.0407586909
974	0.04050867488
975	0.04023414803
976	0.04010697153
977	0.0398641956
978	0.03959755
979	0.03947473341
980	0.03935409736
981	0.03931320633
982	0.03906440252
983	0.03877482074
984	0.03870435206
985	0.03863581565
986	0.03841715321
987	0.03818664033
988	0.03805128314
989	0.03791871188
990	0.0376907041
991	0.03744055454
992	0.03732777823
993	0.03709312484
994	0.03685030166
995	0.03657375423
996	0.03630422599
997	0.03602036423
998	0.03586699986
999	0.03560924937
45883
997	0.02068028754
998	0.02063000077
999	0.0205540403

989	0.02128393586
990	0.02119538694
991	0.02117168721
992	0.02106680134
993	0.02104337523
994	0.02092674706
995	0.02084063216
996	0.02081744207
997	0.02068391262
998	0.02066105656
999	0.020638489
